web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1698000189-34","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-limousine-2003-occasion-10962732","SKODA Octavia 1.9 TDI Laurin & Klement","Läuft einwandfrei/ Für Export","CHF 1'990.–","05.2003","Limousine","224'000 km","Diesel","Boîte manuelle","130 PS (96 kW)","Traction avant","5.4 l/100 km","Non","18.02.2022","Oui","Non","","Ringstrasse 33, 7000 Chur","Listing ID: 10962732","2023-10-22","Non","Wow, ich bin sehr begeistern vom Service! Am Dienstagabend nach Feierabend hatte ..."
"1698000202-35","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10886740","SKODA Octavia 2.0 FSI Adventure 4x4","","CHF 1'990.–","01.2008","Break","257'000 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.9 l/100 km","Non","25.08.2020","Non","Non","","Suhrhardweg 14, 5102 Rupperswil","Listing ID: 10886740","2023-09-25","Non",""
"1698000215-36","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-9854564","SKODA Octavia 1.9 TDI Swiss Ice Hockey 4x4","","CHF 1'999.–","06.2008","Break","220'410 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6.1 l/100 km","Non","06.08.2019","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 9854564","2022-11-14","Non","Fix preis"
"1698000228-37","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-9205636","SKODA Octavia 2.0 FSI Laurin & Klement 4x4","","CHF 1'999.–","01.2007","Break","165'540 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.9 l/100 km","Non","26.12.2019","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 9205636","2022-11-14","Non","Fix preis"
"1698000241-38","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10299037","SKODA Octavia 2.0 TFSI RS","Motor Probleme ( Macht Geräusche)","CHF 1'999.–","10.2008","Break","323'300 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","18.01.2023","Non","Non","","Nordstrasse 1, 7310 Bad Ragaz","Listing ID: 10299037","2023-02-28","Non","Motor Probleme ( Macht Geräusche)"
"1698000254-39","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2005-occasion-10469152","SKODA Octavia 1.9 TDI Adventure 4x4","","CHF 1'999.–","10.2005","Break","230'192 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6 l/100 km","Non","05.08.2020","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10469152","2023-04-26","Non",""
"1698000267-40","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2009-occasion-10905867","SKODA Octavia Combi 1.8 TSI 50Years 4x4","","CHF 1'999.–","11.2009","Break","195'000 km","Essence","Boîte manuelle","160 PS (118 kW)","4 roues motrices","7.7 l/100 km","Non","26.02.2021","Non","Non","","Zentralstrasse 9, 6036 Dierikon","Listing ID: 10905867","2023-10-02","Non","Motor Defekt.
B05"
"1698000280-41","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10741252","SKODA Octavia 1.9 TDI Swiss Adventure 4x4","Läuft einwandfrei / MFK 7.2022 / Klima","CHF 2'000.–","11.2005","Break","263'400 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6 l/100 km","Non","25.07.2022","Non","Non","","Alpenstrasse 1, 6386 Wolfenschiessen","Listing ID: 10741252","2023-08-03","Non","En pocos sitios he visto tantos Suv y 4x4 de distintas marcas"
"1698000293-42","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2011-occasion-9244159","SKODA Octavia Combi 1.4 TSI Ambiente","Problème moteur","CHF 2'000.–","01.2011","Break","220'700 km","Essence","Boîte manuelle","122 PS (90 kW)","Traction avant","6.3 l/100 km","Non","23.01.2021","Non","Non","","Route de Lausanne 7A, 1180 Rolle","Listing ID: 9244159","2022-11-14","Non","Voiture pour export , problème moteur"
"1698000308-43","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10726487","SKODA Octavia Combi 1.8 TSI Adventure 4x4","** Fix Preis, Für Export, Öldrucklampe leuchtet **","CHF 2'000.–","12.2008","Break","154'000 km","Essence","Boîte manuelle","160 PS (118 kW)","4 roues motrices","7.7 l/100 km","Oui","26.01.2023","Non","Non","","Zürichstrasse 23, 4922 Bützberg","Listing ID: 10726487","2023-07-26","Non","Skoda Octavia 1.8 4x4 für Export/Aufbereiter

** Fix Preis **

** Öldrucklampe leuchtet ( Fahrzeug fahrbar ) **

- 154.000km
- 12.2008Inv
- 01.2023 letzte Mfk
- Schaltgetriebe"
